name,nameTemplate,units,abbreviation
BATH_EXHAUST,F_%f_BATH_EXHAUST:Fan Power,Watts,W
VAV_SYS AIR LOOP INLET Mass Flow Rate,F_%f_VAV_SYS AIR LOOP INLET Mass Flow Rate,Kilograms per Second,kg/s
VAV_SYS AIR LOOP INLET Temperature,F_%f_VAV_SYS AIR LOOP INLET Temperature,Degrees Celsius,°C
VAV Availability Manager Night Cycle Control Status,F_%f VAV Availability Manager Night Cycle Control Status,,
VAV_SYS COOLING COIL Power,F_%f_VAV_SYS COOLING COIL Power,Watts,W
VAV_SYS HEATING COIL Power,F_%f_VAV_SYS HEATING COIL Power,Watts,W
VAV_SYS SUPPLY FAN OUTLET Mass Flow Rate,F_%f_VAV_SYS SUPPLY FAN OUTLET Mass Flow Rate,Kilograms per Second,kg/s
VAV_SYS SUPPLY FAN OUTLET Temperature,F_%f_VAV_SYS SUPPLY FAN OUTLET Temperature,Degrees Celsius,°C
VAV_SYS Outdoor Air Flow Fraction,F_%f_VAV_SYS Outdoor Air Flow Fraction,,
VAV_SYS Outdoor Air Mass Flow Rate,F_%f_VAV_SYS Outdoor Air Mass Flow Rate,Kilograms per Second,kg/s
COOL Schedule Value,COOL Schedule Value,Degrees Celsius,°C
DELI-FAN Power,DELI-FAN Power,Watts,W
Drybulb Temperature,Drybulb Temperature,Degrees Celsius,°C
Wind Direction,Wind Direction,Degrees,deg
Wind Speed,Wind Speed,Meters per Second,m/s
HEAT Schedule Value,HEAT Schedule Value,Degrees Celsius,°C
Pump Power,Pump Power,Watts,W
Water Heater Setpoint,Water Heater Setpoint,Degrees Celsius,°C
Water Heater Gas Rate,Water Heater Gas Rate,Watts,W
Water Heater Tank Temperature,Water Heater Tank Temperature,Degrees Celsius,°C
Loop Temp Schedule,Loop Temp Schedule,Degrees Celsius,°C
Supply Side Inlet Mass Flow Rate,Supply Side Inlet Mass Flow Rate,Kilograms per Second,kg/s
Supply Side Inlet Temperature,Supply Side Inlet Temperature,Degrees Celsius,°C
Supply Side Outlet Temperature,Supply Side Outlet Temperature,Degrees Celsius,°C
REHEAT COIL Power,F_%f_Z_%z REHEAT COIL Power,Watts,W
RETURN OUTLET CO2 Concentration,F_%f_Z_%z RETURN OUTLET CO2 Concentration,Parts per Million,ppm
SUPPLY INLET Mass Flow Rate,F_%f_Z_%z SUPPLY INLET Mass Flow Rate,Kilograms per Second,kg/s
SUPPLY INLET Temperature,F_%f_Z_%z SUPPLY INLET Temperature,Degrees Celsius,°C
VAV REHEAT Damper Position,F_%f_Z_%z VAV REHEAT Damper Position,,
Equipment Power,F_%f_Z_%z: Equipment Power,Watts,W
Lights Power,F_%f_Z_%z: Lights Power,Watts,W
Mechanical Ventilation Mass Flow Rate,F_%f_Z_%z: Mechanical Ventilation Mass Flow Rate,Kilograms per Second,kg/s
Thermostat Temp,F_%f_Z_%z: Thermostat Temp, Degrees Celsius,°C
Thermostat Cooling Setpoint,F_%f_Z_%z: Thermostat Cooling Setpoint,Degrees Celsius,°C
Thermostat Heating Setpoint,F_%f_Z_%z: Thermostat Heating Setpoint,Degrees Celsius,°C
Total Electric Demand Power,Total Electric Demand Power,Watts,W
HVAC Electric Demand Power,HVAC Electric Demand Power,Watts,W
Hazium Concentration,F_%f_Z_%z: Hazium Concentration,Parts per Million,ppm
