proxid,count
mbramar,409
lcarrara,450
ncelio,424
gflorez,309
cforluniau,378
jfrost,40
jholly,263
eklinger,330
llagos,490
clais,355
rmies haber,0
rpantanal,279
epavone,278
aribera,261
tseifert,271
malinari,0
lazada,420
fbalas,384
tbattles,484
iborrasca,355
pbueno,148
acalzas,485
tcarrara,480
mcassano,390
gcazar,420
ldedos,468
yfinney,491
bfrente,361
vfrente,479
lgrogan,396
thagan,476
vhatchett,342
fmata,322
eminto,543
knielson,346
anubarron,476
vomalla,372
monda,478
korilla,360
eorilla,425
sparrino,324
apinckney,390
tquiroz,231
wreynoso,457
bridenour,350
jsimonides,390
btempestad,460
avico,461
cwhaley,219
ibarranco,200
hblue,270
acampo-corrente,0
eedward,380
emintz,310
lorosco,340
bovan,253
ssanjorge jr.,0
ostrum,353
wvasco-pais,0
earpa,50
vawelon,110
nbasham,430
lbennett,487
dcoginian,213
edavies,219
agerard,370
ahafon,469
bhawelon,469
chawelon,494
ckinney,366
fkirchner,202
hmies,454
vmorlun,0
amorlun,314
cmorluniau,470
bmullen,410
inant,0
rparedes,0
dscozzese,85
cshipp,469
tsong,390
cstaley,75
pyoung,502
fadair,245
pbeebe,398
pratigan,341
lalcazar,443
iarlotti,190
lbagani,270
sbagni,270
ibaza,267
ebello,187
lbergen,378
ncalixto,463
zcoronado,390
rfaraldo,0
sflecha,463
sflorez,390
slowery,370
iovan,390
ssinagra,370
csolos,433
junger,359
cwhelan,370
dbartley,0
mcanada,0
jcastellanos,460
hcocinaro,438
sfusil,466
kherrero,511
sholiday,0
pkemp,0
vlagos,436
slea,419
anardi,460
jnespola,460
mnotaro,0
apherigo,0
fresumir,556
drhoads,0
ssalvay,0
mshultz,460
xsowell,0
evann,0
mvollan,505
jsanjorge,310
rfaralso,350
rparade,80
wvasco,293
acampo,230
malinai,485
rmieshaber,288
morlunv,287
