date,time,type,proxID,floor,zone
2016-06-03, 00:09:00, fixed-prox, vawelon001, 1, 1
2016-06-03, 00:14:00, fixed-prox, earpa001, 1, 1
2016-06-03, 02:25:41, fixed-prox, vawelon001, 1, 6
2016-06-03, 02:28:40, fixed-prox, earpa001, 1, 6
2016-06-03, 03:12:00, fixed-prox, vawelon001, 1, 1
2016-06-03, 03:15:00, fixed-prox, earpa001, 1, 1
2016-06-03, 05:56:40, fixed-prox, vawelon001, 1, 6
2016-06-03, 06:02:41, fixed-prox, earpa001, 1, 6
2016-06-03, 06:50:00, fixed-prox, vawelon001, 1, 1
2016-06-03, 06:58:00, fixed-prox, earpa001, 1, 1
2016-06-03, 07:13:00, fixed-prox, jsanjorge001, 1, 1
2016-06-03, 07:13:50, fixed-prox, jsanjorge001, 1, 4
2016-06-03, 07:14:00, fixed-prox, eedward001, 1, 1
2016-06-03, 07:14:32, fixed-prox, jsanjorge001, 2, 4
2016-06-03, 07:14:54, fixed-prox, eedward001, 1, 4
2016-06-03, 07:15:00, fixed-prox, mbramar001, 1, 1
2016-06-03, 07:15:00, fixed-prox, apinckney001, 1, 1
2016-06-03, 07:15:00, fixed-prox, emintz001, 1, 1
2016-06-03, 07:15:00, fixed-prox, junger001, 1, 1
2016-06-03, 07:15:00, fixed-prox, nbasham001, 1, 1
2016-06-03, 07:15:00, fixed-prox, thagan001, 1, 1
2016-06-03, 07:15:03, fixed-prox, jsanjorge001, 3, 4
2016-06-03, 07:15:05, fixed-prox, jsanjorge001, 3, 1
2016-06-03, 07:15:24, fixed-prox, jsanjorge001, 3, 6
2016-06-03, 07:15:36, fixed-prox, eedward001, 2, 4
2016-06-03, 07:15:52, fixed-prox, apinckney001, 1, 4
2016-06-03, 07:15:53, fixed-prox, emintz001, 1, 4
2016-06-03, 07:15:53, fixed-prox, mbramar001, 1, 4
2016-06-03, 07:15:54, fixed-prox, thagan001, 1, 4
2016-06-03, 07:15:54, fixed-prox, junger001, 1, 4
2016-06-03, 07:15:56, fixed-prox, nbasham001, 1, 4
2016-06-03, 07:16:00, fixed-prox, eorilla001, 1, 1
2016-06-03, 07:16:00, fixed-prox, vfrente001, 1, 1
2016-06-03, 07:16:00, fixed-prox, iovan001, 1, 1
2016-06-03, 07:16:07, fixed-prox, eedward001, 3, 4
2016-06-03, 07:16:09, fixed-prox, eedward001, 3, 1
2016-06-03, 07:16:26, fixed-prox, eedward001, 3, 3
2016-06-03, 07:16:34, fixed-prox, emintz001, 2, 4
2016-06-03, 07:16:34, fixed-prox, thagan001, 2, 4
2016-06-03, 07:16:34, fixed-prox, apinckney001, 2, 4
2016-06-03, 07:16:34, fixed-prox, nbasham001, 2, 4
2016-06-03, 07:16:34, fixed-prox, mbramar001, 2, 4
2016-06-03, 07:16:34, fixed-prox, junger001, 2, 4
2016-06-03, 07:16:36, fixed-prox, thagan001, 2, 1
2016-06-03, 07:16:36, fixed-prox, apinckney001, 2, 1
2016-06-03, 07:16:36, fixed-prox, junger001, 2, 1
2016-06-03, 07:16:36, fixed-prox, nbasham001, 2, 1
2016-06-03, 07:16:51, fixed-prox, nbasham001, 2, 7
2016-06-03, 07:16:51, fixed-prox, junger001, 2, 7
2016-06-03, 07:16:51, fixed-prox, apinckney001, 2, 7
2016-06-03, 07:16:52, fixed-prox, thagan001, 2, 2
2016-06-03, 07:17:00, fixed-prox, mcassano001, 1, 1
2016-06-03, 07:17:00, fixed-prox, ldedos001, 1, 1
2016-06-03, 07:17:00, fixed-prox, cwhelan001, 1, 1
2016-06-03, 07:17:17, fixed-prox, mbramar001, 3, 4
2016-06-03, 07:17:17, fixed-prox, emintz001, 3, 4
2016-06-03, 07:17:19, fixed-prox, mbramar001, 3, 1
2016-06-03, 07:17:19, fixed-prox, emintz001, 3, 1
2016-06-03, 07:17:34, fixed-prox, mbramar001, 3, 6
2016-06-03, 07:17:36, fixed-prox, emintz001, 3, 3
2016-06-03, 07:18:00, fixed-prox, acalzas001, 1, 1
2016-06-03, 07:18:06, fixed-prox, vfrente001, 1, 4
2016-06-03, 07:18:06, fixed-prox, mcassano001, 1, 4
2016-06-03, 07:18:06, fixed-prox, cwhelan001, 1, 4
2016-06-03, 07:18:06, fixed-prox, eorilla001, 1, 4
2016-06-03, 07:18:06, fixed-prox, iovan001, 1, 4
2016-06-03, 07:18:06, fixed-prox, ldedos001, 1, 4
2016-06-03, 07:18:47, fixed-prox, vfrente001, 2, 4
2016-06-03, 07:18:47, fixed-prox, ldedos001, 2, 4
2016-06-03, 07:18:47, fixed-prox, eorilla001, 2, 4
2016-06-03, 07:18:47, fixed-prox, iovan001, 2, 4
2016-06-03, 07:18:47, fixed-prox, mcassano001, 2, 4
2016-06-03, 07:18:47, fixed-prox, cwhelan001, 2, 4
2016-06-03, 07:18:49, fixed-prox, eorilla001, 2, 1
2016-06-03, 07:18:49, fixed-prox, vfrente001, 2, 1
2016-06-03, 07:18:49, fixed-prox, cwhelan001, 2, 1
2016-06-03, 07:18:49, fixed-prox, ldedos001, 2, 1
2016-06-03, 07:18:49, fixed-prox, mcassano001, 2, 1
2016-06-03, 07:18:49, fixed-prox, iovan001, 2, 1
2016-06-03, 07:19:00, fixed-prox, pyoung002, 1, 1
2016-06-03, 07:19:00, fixed-prox, lbergen001, 1, 1
2016-06-03, 07:19:04, fixed-prox, iovan001, 2, 7
2016-06-03, 07:19:04, fixed-prox, cwhelan001, 2, 7
2016-06-03, 07:19:04, fixed-prox, mcassano001, 2, 7
2016-06-03, 07:19:06, fixed-prox, eorilla001, 2, 2
2016-06-03, 07:19:06, fixed-prox, vfrente001, 2, 2
2016-06-03, 07:19:13, fixed-prox, ldedos001, 2, 2
2016-06-03, 07:20:00, fixed-prox, sflorez001, 1, 1
2016-06-03, 07:20:00, fixed-prox, fbalas001, 1, 1
2016-06-03, 07:20:08, fixed-prox, lbergen001, 1, 4
2016-06-03, 07:20:08, fixed-prox, acalzas001, 1, 4
2016-06-03, 07:20:08, fixed-prox, pyoung002, 1, 4
2016-06-03, 07:20:49, fixed-prox, pyoung002, 2, 4
2016-06-03, 07:20:49, fixed-prox, lbergen001, 2, 4
2016-06-03, 07:20:49, fixed-prox, acalzas001, 2, 4
2016-06-03, 07:20:51, fixed-prox, lbergen001, 2, 1
2016-06-03, 07:20:51, fixed-prox, acalzas001, 2, 1
2016-06-03, 07:21:00, fixed-prox, lbennett001, 1, 1
2016-06-03, 07:21:06, fixed-prox, lbergen001, 2, 7
2016-06-03, 07:21:08, fixed-prox, acalzas001, 2, 2
2016-06-03, 07:21:20, fixed-prox, pyoung002, 3, 4
2016-06-03, 07:21:22, fixed-prox, pyoung002, 3, 1
2016-06-03, 07:21:38, fixed-prox, fbalas001, 1, 4
2016-06-03, 07:21:38, fixed-prox, sflorez001, 1, 4
2016-06-03, 07:21:39, fixed-prox, pyoung002, 3, 3
2016-06-03, 07:22:00, fixed-prox, lazada001, 1, 1
2016-06-03, 07:22:00, fixed-prox, tbattles001, 1, 1
2016-06-03, 07:22:19, fixed-prox, sflorez001, 2, 4
2016-06-03, 07:22:19, fixed-prox, fbalas001, 2, 4
2016-06-03, 07:22:21, fixed-prox, fbalas001, 2, 1
2016-06-03, 07:22:21, fixed-prox, sflorez001, 2, 1
2016-06-03, 07:22:36, fixed-prox, sflorez001, 2, 7
2016-06-03, 07:23:00, fixed-prox, cstaley001, 1, 1
2016-06-03, 07:23:12, fixed-prox, lbennett001, 1, 4
2016-06-03, 07:23:12, fixed-prox, tbattles001, 1, 4
2016-06-03, 07:23:12, fixed-prox, lazada001, 1, 4
2016-06-03, 07:23:53, fixed-prox, lbennett001, 2, 4
2016-06-03, 07:23:53, fixed-prox, lazada001, 2, 4
2016-06-03, 07:23:53, fixed-prox, tbattles001, 2, 4
2016-06-03, 07:23:55, fixed-prox, lazada001, 2, 1
2016-06-03, 07:23:55, fixed-prox, lbennett001, 2, 1
2016-06-03, 07:23:55, fixed-prox, tbattles001, 2, 1
2016-06-03, 07:24:13, fixed-prox, lbennett001, 2, 6
2016-06-03, 07:24:15, fixed-prox, tbattles001, 2, 2
2016-06-03, 07:25:00, fixed-prox, ahafon001, 1, 1
2016-06-03, 07:25:00, fixed-prox, lgrogan001, 1, 1
2016-06-03, 07:26:00, fixed-prox, cmorluniau001, 1, 1
2016-06-03, 07:26:37, fixed-prox, lgrogan001, 1, 4
2016-06-03, 07:26:37, fixed-prox, ahafon001, 1, 4
2016-06-03, 07:27:18, fixed-prox, lgrogan001, 2, 4
2016-06-03, 07:27:18, fixed-prox, ahafon001, 2, 4
2016-06-03, 07:27:20, fixed-prox, ahafon001, 2, 1
2016-06-03, 07:27:20, fixed-prox, lgrogan001, 2, 1
2016-06-03, 07:27:37, fixed-prox, cmorluniau001, 1, 4
2016-06-03, 07:27:37, fixed-prox, vawelon001, 1, 4
2016-06-03, 07:27:42, fixed-prox, ahafon001, 2, 6
2016-06-03, 07:28:00, fixed-prox, btempestad001, 1, 1
2016-06-03, 07:28:00, fixed-prox, vhatchett001, 1, 1
2016-06-03, 07:28:18, fixed-prox, cmorluniau001, 2, 4
2016-06-03, 07:28:18, fixed-prox, vawelon001, 2, 4
2016-06-03, 07:28:20, fixed-prox, cmorluniau001, 2, 1
2016-06-03, 07:28:20, fixed-prox, vawelon001, 2, 1
2016-06-03, 07:28:38, fixed-prox, cmorluniau001, 2, 6
2016-06-03, 07:29:00, fixed-prox, cshipp001, 1, 1
2016-06-03, 07:29:41, fixed-prox, vhatchett001, 1, 4
2016-06-03, 07:29:41, fixed-prox, btempestad001, 1, 4
2016-06-03, 07:29:51, fixed-prox, cshipp001, 1, 4
2016-06-03, 07:30:00, fixed-prox, acampo001, 1, 1
2016-06-03, 07:30:00, fixed-prox, wvasco001, 1, 1
2016-06-03, 07:30:00, fixed-prox, lorosco001, 1, 1
2016-06-03, 07:30:00, fixed-prox, jfrost001, 1, 1
2016-06-03, 07:30:00, fixed-prox, pbeebe001, 1, 1
2016-06-03, 07:30:00, fixed-prox, lcarrara001, 1, 1
2016-06-03, 07:30:22, fixed-prox, cshipp001, 2, 4
2016-06-03, 07:30:22, fixed-prox, vhatchett001, 2, 4
2016-06-03, 07:30:22, fixed-prox, btempestad001, 2, 4
2016-06-03, 07:30:24, fixed-prox, vhatchett001, 2, 1
2016-06-03, 07:30:24, fixed-prox, btempestad001, 2, 1
2016-06-03, 07:30:24, fixed-prox, cshipp001, 2, 1
2016-06-03, 07:30:38, fixed-prox, cshipp001, 2, 6
2016-06-03, 07:30:41, fixed-prox, btempestad001, 2, 2
2016-06-03, 07:31:00, fixed-prox, hmies001, 1, 1
2016-06-03, 07:31:00, fixed-prox, sflecha001, 1, 1
2016-06-03, 07:31:00, fixed-prox, fresumir001, 1, 1
2016-06-03, 07:31:37, fixed-prox, lcarrara001, 1, 4
2016-06-03, 07:31:37, fixed-prox, acampo001, 1, 4
2016-06-03, 07:31:37, fixed-prox, pbeebe001, 1, 4
2016-06-03, 07:31:37, fixed-prox, lorosco001, 1, 4
